search_term,categoria_emporium,nombre,precio_raw,precio_usd,categoria_gama,url,availability,scraped_at
pimenton,08FRUV,PIMENTÓN LARGO 500 GR,"Ref. 1,80",1.8,,https://gamaenlinea.com/es/pimenton-largo-500-gr/p/25000139,Available,2026-02-21T17:41:12.388113
pimenton,08FRUV,PIMENTON REDONDO 500 GR,"Ref. 1,41",1.41,,https://gamaenlinea.com/es/pimenton-redondo-500-gr/p/25000138,Available,2026-02-21T17:41:12.494286
pimenton,08FRUV,PIMENTON ESPAÑOL IBERIA 62 GR,"Ref. 5,56",5.56,,https://gamaenlinea.com/es/pimenton-espanol-iberia-62-gr/p/10002012,Available,2026-02-21T17:41:12.609103
pimenton,08FRUV,PIMENTÓN ESPAÑOL MCCORMICK 61 GR,"Ref. 5,83",5.83,,https://gamaenlinea.com/es/pimenton-espanol-mccormick-61-gr/p/10000654,Available,2026-02-21T17:41:12.758619
ajo,08FRUV,SALSA DE AJO GAMA 300 CC,"Ref. 3,05",3.05,,https://gamaenlinea.com/es/salsa-ajo-gama-300-cc/p/10014777,Available,2026-02-21T17:41:41.406207
ajo,08FRUV,SALSA DE AJO GAMA 150 CC,"Ref. 1,81",1.81,,https://gamaenlinea.com/es/salsa-ajo-gama-150-cc/p/10014778,Available,2026-02-21T17:41:41.507706
ajo,08FRUV,AJO CRIOLLO PELADO GAMA 170 GR,"Ref. 2,63",2.63,,https://gamaenlinea.com/es/ajo-criollo-pelado-gama-170-gr/p/25001123,Available,2026-02-21T17:41:41.604842
ajo,08FRUV,SALSA DE AJO MCCORMICK 150 ML,"Ref. 2,10",2.1,,https://gamaenlinea.com/es/salsa-ajo-mccormick-150-ml/p/10000684,Available,2026-02-21T17:41:41.801647
papaya,08FRUV,"LECHOSA TIPO PAPAYA 2,000 KG","Ref. 2,40",2.4,,https://gamaenlinea.com/es/lechosa-tipo-papaya-2000-kg/p/25000213,Available,2026-02-21T17:42:22.204711
papaya,08FRUV,JABÓN MICELAR PASIÓN DE PAPAYA DALAN 378 GR 3 UN,"Ref. 4,88",4.88,,https://gamaenlinea.com/es/jabon-micelar-pasion-papaya-dalan-378-gr-3-un/p/50014658,Available,2026-02-21T17:42:22.326207
lechuga,08FRUV,LECHUGA CRIOLLA 400 GR,"Ref. 1,50",1.5,,https://gamaenlinea.com/es/lechuga-criolla-400-gr/p/25000093,Available,2026-02-21T17:42:51.346165
lechuga,08FRUV,LECHUGA ROMANA 500 GR,"Ref. 1,50",1.5,,https://gamaenlinea.com/es/lechuga-romana-500-gr/p/25000094,Available,2026-02-21T17:42:51.434231
lechuga,08FRUV,LECHUGA AMERICANA 500 GR,"Ref. 1,50",1.5,,https://gamaenlinea.com/es/lechuga-americana-500-gr/p/25000092,Available,2026-02-21T17:42:51.528255
lechuga,08FRUV,LECHUGA ROMANA COMPUESTOS DEL CAMPO 2 UN,"Ref. 3,46",3.46,,https://gamaenlinea.com/es/lechuga-romana-compuestos-del-campo-2-un/p/30009815,Available,2026-02-21T17:42:51.572035
lechuga,08FRUV,ENSALADA DE LECHUGA MIXTA HIDROPONIAS 150 GR,"Ref. 3,25",3.25,,https://gamaenlinea.com/es/ensalada-lechuga-mixta-hidroponias-150-gr/p/30010449,Available,2026-02-21T17:42:51.668000
brocoli,08FRUV,BROCOLI COMPUESTO DEL CAMPO 1 UN,"Ref. 3,79",3.79,,https://gamaenlinea.com/es/brocoli-compuesto-del-campo-1-un/p/30009486,Available,2026-02-21T17:43:20.918355
brocoli,08FRUV,BROCOLI EN BANDEJA 500 GR,"Ref. 2,65",2.65,,https://gamaenlinea.com/es/brocoli-bandeja-500-gr/p/25000839,Available,2026-02-21T17:43:21.034380
brocoli,08FRUV,FLORETES DE BRÓCOLI FRESH PACK 250 GR,"Ref. 3,59",3.59,,https://gamaenlinea.com/es/floretes-brocoli-fresh-pack-250-gr/p/30009952,Available,2026-02-21T17:43:21.137288
brocoli,08FRUV,BRÓCOLI EN BANDEJA HIDROPONIAS 300 GR,"Ref. 4,30",4.3,,https://gamaenlinea.com/es/brocoli-bandeja-hidroponias-300-gr/p/30010032,Available,2026-02-21T17:43:21.239045
brocoli,08FRUV,BROCOLI ANDINO SIN HOJAS 600 GR,"Ref. 2,66",2.66,,https://gamaenlinea.com/es/brocoli-andino-sin-hojas-600-gr/p/25000029,Available,2026-02-21T17:43:21.343948
manzana,08FRUV,STRUDEL DE MANZANA GAMA 1 UN,"Ref. 2,00",2.0,,https://gamaenlinea.com/es/strudel-manzana-gama-1-un/p/29008755,Available,2026-02-21T17:44:00.558400
manzana,08FRUV,MANZANA GALA 680 GR,"Ref. 5,37",5.37,,https://gamaenlinea.com/es/manzana-gala-680-gr/p/25000363,Available,2026-02-21T17:44:01.015843
manzana,08FRUV,MANZANAS AMARILLAS 700 GR,"Ref. 6,19",6.19,,https://gamaenlinea.com/es/manzanas-amarillas-700-gr/p/25000117,Available,2026-02-21T17:44:01.140310
naranja,08FRUV,JUGO DE NARANJA 100% NATURAL GAMA 500 CC,"Ref. 3,09",3.09,,https://gamaenlinea.com/es/jugo-naranja-100-natural-gama-500-cc/p/25000934,Available,2026-02-21T17:44:30.874898
naranja,08FRUV,"JUGO DE NARANJA 100% NATURAL GAMA 1,5 L","Ref. 9,07",9.07,,https://gamaenlinea.com/es/jugo-naranja-100-natural-gama-15-l/p/25000936,Available,2026-02-21T17:44:30.990728
naranja,08FRUV,"NARANJA FANTA 1,5LT","Ref. 1,25",1.25,,https://gamaenlinea.com/es/naranja-fanta-15lt/p/10035882,Available,2026-02-21T17:44:31.102975
